problem,solved,validator,depth,expanded,generated,seconds,note
1-basic/active-muddy-child/amc-03-02-clean,True,OK,2,11,10,0.0,
1-basic/active-muddy-child/amc-03-03-muddy,True,OK,2,10,9,0.0,
1-basic/active-muddy-child/amc-06-03-clean,True,OK,5,314,321,0.03,
1-basic/active-muddy-child/amc-06-06-muddy,True,OK,5,100,96,0.01,
1-basic/active-muddy-child/amc-09-05-clean,True,OK,,36,165,1.18,
1-basic/active-muddy-child/amc-09-05-muddy,True,OK,,59,266,1.26,
1-basic/active-muddy-child/amc-09-09-muddy,True,OK,8,352,345,0.44,
1-basic/active-muddy-child/amc-12-06-clean,True,,11,62,292,2.49,
1-basic/active-muddy-child/amc-12-06-muddy,True,,11,87,441,3.88,
1-basic/active-muddy-child/amc-12-12-muddy,True,OK,,22,74,2.93,
1-basic/blocks-world/bw-05,False,,,,,,not ground
1-basic/blocks-world/bw-10,False,,,,,,not ground
1-basic/blocks-world/bw-15,False,,,,,,not ground
1-basic/blocks-world/bw-20,False,,,,,,not ground
1-basic/blocks-world/bw-25,False,,,,,,not ground
1-basic/blocks-world/bw-30,False,,,,,,not ground
1-basic/blocks-world/bw-35,False,,,,,,not ground
1-basic/blocks-world/bw-40,False,,,,,,not ground
1-basic/blocks-world/bw-45,False,,,,,,not ground
1-basic/blocks-world/bw-50,False,,,,,,not ground
1-basic/consecutive-numbers/cn-2-05,True,,3,3,42,0.0,
1-basic/consecutive-numbers/cn-2-15,True,,8,8,167,0.0,
1-basic/consecutive-numbers/cn-2-20,True,,18,18,737,0.01,
1-basic/consecutive-numbers/cn-3-05,False,,,,,0.0,[main] No solution found.
1-basic/consecutive-numbers/cn-3-10,True,,5,5,311,0.0,
1-basic/consecutive-numbers/cn-3-20,False,,,,,0.01,[main] No solution found.
1-basic/consecutive-numbers/cn-4-10,False,,,,,0.0,[main] No solution found.
1-basic/consecutive-numbers/cn-4-20,False,,,,,0.04,[main] No solution found.
1-basic/consecutive-numbers/cn-5-10,False,,,,,0.01,[main] No solution found.
1-basic/consecutive-numbers/cn-5-20,False,,,,,0.37,[main] No solution found.
1-basic/gossip/gos-03-all,True,,6,6,13,0.0,
1-basic/gossip/gos-05-all,True,,20,20,80,0.01,
